outer_fold,outer_test_participant,family,candidate_id,candidate_params,model_seed,inner_score,candidate_order,model_seed_stream,n_training_rows,training_prevalence,all_missing_features_refit
12,S15,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=None","{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 2}",1483585853.0,0.8806353003721424,6.0,model_fit:random_forest:S15,404.0,0.349009900990099,[]
12,S15,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=training_ratio","{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 3, ""scale_pos_weight"": 1.8652482269503545}",2579709283.0,0.8997949419002049,7.0,model_fit:xgboost:S15,404.0,0.349009900990099,[]
13,S16,majority,majority,"{""hard_label"": 0, ""n_training_rows"": 405, ""training_prevalence"": 0.3506172839506173}",,,,,,,
13,S16,logistic,"logistic:C=0.1,class_weight=None","{""C"": 0.1, ""class_weight"": null}",450983658.0,0.8626813245234298,0.0,model_fit:logistic:S16,405.0,0.3506172839506173,[]
13,S16,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=None","{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 2}",3894038675.0,0.8763005999848105,6.0,model_fit:random_forest:S16,405.0,0.3506172839506173,[]
13,S16,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=none","{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 3, ""scale_pos_weight"": 1.0}",1496962331.0,0.8759968102073366,6.0,model_fit:xgboost:S16,405.0,0.3506172839506173,[]
14,S17,majority,majority,"{""hard_label"": 0, ""n_training_rows"": 404, ""training_prevalence"": 0.349009900990099}",,,,,,,
14,S17,logistic,"logistic:C=0.1,class_weight=balanced","{""C"": 0.1, ""class_weight"": ""balanced""}",2415695120.0,0.8867300827827144,1.0,model_fit:logistic:S17,404.0,0.349009900990099,[]
14,S17,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=balanced","{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 2}",3919448548.0,0.8685064935064934,7.0,model_fit:random_forest:S17,404.0,0.349009900990099,[]
14,S17,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=training_ratio","{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 2, ""scale_pos_weight"": 1.8652482269503545}",572173500.0,0.8776448697501328,3.0,model_fit:xgboost:S17,404.0,0.349009900990099,[]
