model_family,n_participants,balanced_accuracy_mean,balanced_accuracy_median,balanced_accuracy_sd_across_participants,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_median,macro_f1_sd_across_participants,macro_f1_min,macro_f1_max,stress_recall_mean,stress_recall_median,stress_recall_sd_across_participants,stress_recall_min,stress_recall_max,baseline_recall_mean,baseline_recall_median,baseline_recall_sd_across_participants,baseline_recall_min,baseline_recall_max,auroc_mean,auroc_median,auroc_sd_across_participants,auroc_min,auroc_max,average_precision_mean,average_precision_median,average_precision_sd_across_participants,average_precision_min,average_precision_max
xgboost,15,0.8847917774233562,0.9444444444444444,0.1458339214720521,0.5,1.0,0.8726900029903504,0.9570747217806042,0.1849784335480359,0.3958333333333333,1.0,0.847946127946128,0.9,0.2587258557118246,0.0,1.0,0.9216374269005848,1.0,0.20231117098390577,0.2631578947368421,1.0,0.9607194754563175,1.0,0.10372702407630585,0.605263157894737,1.0,0.9603227761440928,0.9999999999999999,0.1037747403684948,0.6003191444570755,1.0000000000000002
logistic,15,0.8558958001063266,0.8944444444444444,0.13264549266123518,0.5789473684210527,1.0,0.8454118366245048,0.9125,0.16843512418345724,0.41414141414141414,1.0,0.849023569023569,0.9,0.15352769531038654,0.5,1.0,0.8627680311890839,1.0,0.2576407331698324,0.15789473684210525,1.0,0.9704891015417332,1.0,0.05442522384908472,0.8181818181818181,1.0,0.9706810675295524,0.9999999999999999,0.04542012522637855,0.8659932659932661,1.0000000000000002
random_forest,15,0.8558745348219033,0.9090909090909092,0.14563035601088498,0.5,1.0,0.8390504341685556,0.925,0.18606711641381624,0.3958333333333333,1.0,0.8367003367003368,0.8888888888888888,0.2516972476262217,0.0,1.0,0.8750487329434697,1.0,0.23295663575567332,0.3684210526315789,1.0,0.954843168527379,1.0,0.09693573910189872,0.7000000000000001,1.0,0.957501480755251,0.9999999999999999,0.0871542569176436,0.7379558435068179,1.0000000000000002
majority,15,0.5,0.5,0.0,0.5,0.5,0.39393743405471954,0.3958333333333333,0.005810193097814777,0.3877551020408163,0.40425531914893614,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.34986316365626713,0.3448275862068966,0.01588990920516769,0.32142857142857145,0.36666666666666664
